,ID,Yes/No,YesProbabil,Predicted
0,32884,0.0,0.22993226,0
1,3169,0.0,0.00031681877,0
2,32206,0.0,0.0017663948,0
3,9403,0.0,0.0068006166,0
4,14020,0.0,0.0014180115,0
5,17201,0.0,0.16720523,0
6,879,0.0,0.0009203807,0
7,23757,0.0,4.0623156e-05,0
8,10821,0.0,0.00038331153,0
9,14355,0.0,0.00011644003,0
10,32311,0.0,0.1352927,0
11,31850,0.0,0.10953483,0
12,13595,1.0,0.5180435,1
13,21871,1.0,0.26134047,0
14,16735,0.0,0.0037698846,0
15,8040,0.0,0.00034386074,0
16,14064,0.0,0.00071513094,0
17,17688,0.0,0.00179787,0
18,15507,0.0,0.000119250006,0
19,37480,1.0,0.5106119,1
20,17267,1.0,0.5601351,1
21,1670,0.0,0.0026051395,0
22,8528,1.0,0.15037793,0
23,15755,0.0,0.00026790827,0
24,20770,0.0,0.0007512835,0
25,36915,0.0,0.09326517,0
26,33728,0.0,0.019806644,0
27,22969,0.0,0.00047372063,0
28,8925,0.0,0.0036711101,0
29,144,0.0,6.301683e-05,0
30,36968,0.0,0.17643203,0
31,36562,1.0,0.31721917,0
32,40868,1.0,0.6893584,1
33,14050,1.0,0.43785617,0
34,10835,1.0,0.26021084,0
35,11042,0.0,9.3024326e-05,0
36,23685,0.0,0.004372903,0
37,24425,0.0,0.0016545431,0
38,8725,0.0,0.00087665353,0
39,25809,0.0,0.0016781426,0
40,24999,0.0,0.00045168097,0
41,12662,0.0,0.004490618,0
42,41020,1.0,0.6781705,1
43,756,0.0,8.443886e-05,0
44,28062,0.0,0.28505877,0
45,6314,0.0,0.0950484,0
46,12357,0.0,0.0044293893,0
47,12515,0.0,0.0011593043,0
48,23461,0.0,0.000116893476,0
49,6108,0.0,7.5555596e-05,0
50,32668,1.0,0.42893958,0
51,38202,0.0,0.29257843,0
52,2464,0.0,0.00236128,0
53,33789,1.0,0.32627368,0
54,15983,0.0,0.3090254,0
55,12893,0.0,0.0064472714,0
56,24129,0.0,0.012904526,0
57,27059,0.0,0.0009840422,0
58,39196,1.0,0.7002716,1
59,29731,0.0,0.0077442573,0
60,27101,1.0,0.23261668,0
61,4500,0.0,0.00040733407,0
62,27190,0.0,0.0028866425,0
63,3419,0.0,0.001484627,0
64,40576,0.0,0.67076135,1
65,26278,0.0,0.0021187318,0
66,38246,1.0,0.39791897,0
67,1631,0.0,9.5549665e-05,0
68,2990,0.0,0.2889945,0
69,37777,0.0,0.26601514,0
70,18428,0.0,0.0010552012,0
71,26095,0.0,0.4466871,0
72,32714,0.0,0.05813966,0
73,35636,0.0,0.012938219,0
74,18183,0.0,0.0010308622,0
75,216,0.0,0.002365629,0
76,13328,0.0,0.3688041,0
77,24444,0.0,0.00035603496,0
78,25602,0.0,0.16180426,0
79,3445,0.0,0.008722163,0
80,33317,0.0,0.21446405,0
81,13282,0.0,0.00025237986,0
82,4243,0.0,0.011981313,0
83,13926,0.0,0.0027294818,0
84,3270,0.0,0.00023958726,0
85,34279,0.0,0.123809144,0
86,34151,0.0,0.008349238,0
87,18143,0.0,0.22560456,0
88,26517,0.0,0.013679315,0
89,8085,0.0,0.00030225044,0
90,27441,0.0,0.00026944268,0
91,41031,0.0,0.49683487,0
92,25158,0.0,0.003617615,0
93,26621,0.0,0.0018096969,0
94,38324,1.0,0.13487019,0
95,8231,0.0,0.00016077161,0
96,28107,0.0,0.049894508,0
97,11011,0.0,0.0026000487,0
98,532,0.0,3.7857433e-05,0
99,11511,0.0,0.00016868523,0
100,22236,1.0,0.47242782,0
101,36852,1.0,0.3773293,0
102,38578,0.0,0.11429903,0
103,10646,0.0,0.00045680554,0
104,29822,0.0,0.010787254,0
105,16548,0.0,0.0010682498,0
106,2000,0.0,0.2791071,0
107,28517,0.0,0.009730259,0
108,17075,0.0,0.0037663549,0
109,6330,0.0,0.013758066,0
110,29675,0.0,0.0008825319,0
111,18294,0.0,0.00020421718,0
112,23558,0.0,0.0001927631,0
113,7945,0.0,0.0961739,0
114,23678,0.0,0.00022106011,0
115,11335,0.0,0.0001812065,0
116,729,0.0,0.05447003,0
117,20940,0.0,0.0030349684,0
118,4168,0.0,0.005049502,0
119,33960,0.0,0.066085055,0
120,11096,0.0,0.00077145867,0
121,4009,0.0,0.00012617355,0
122,22492,0.0,0.00038323717,0
123,6222,0.0,0.0019619807,0
124,25749,0.0,0.00027852604,0
125,22363,0.0,0.0015210074,0
126,15476,0.0,0.31673667,0
127,13028,0.0,0.09892461,0
128,10016,0.0,0.3534846,0
129,10098,0.0,0.00019091528,0
130,29959,0.0,0.020941705,0
131,7474,0.0,0.06854792,0
132,13544,0.0,0.00047823184,0
133,22979,0.0,8.287785e-05,0
134,13321,0.0,0.0003488596,0
135,15044,0.0,0.00058053917,0
136,40190,0.0,0.02804965,0
137,40819,1.0,0.68719876,1
138,6065,0.0,0.16626151,0
139,22232,0.0,0.212378,0
140,35080,0.0,0.004168304,0
141,6912,0.0,6.784293e-05,0
142,857,0.0,0.00018915479,0
143,35753,0.0,0.002862198,0
144,9590,0.0,0.0013817443,0
145,3290,0.0,0.00053339277,0
146,34533,0.0,0.12820727,0
147,22846,0.0,0.00031813356,0
148,14181,0.0,0.00014380403,0
149,12005,0.0,0.00043027973,0
150,37977,0.0,0.20653853,0
151,4559,0.0,0.0046105767,0
152,22944,0.0,0.0010749272,0
153,5987,0.0,0.00050953426,0
154,11806,0.0,5.4727407e-05,0
155,6245,0.0,4.5294215e-05,0
156,16227,0.0,0.35115165,0
157,35751,0.0,0.005524453,0
158,10089,0.0,0.0009659169,0
159,29632,0.0,0.0039257165,0
160,37063,0.0,0.07646071,0
161,31440,0.0,0.031420607,0
162,37493,0.0,0.8023443,1
163,23250,0.0,0.00062691467,0
164,13415,0.0,0.06526692,0
165,26915,0.0,0.018926872,0
166,33666,1.0,0.29794216,0
167,25576,0.0,0.035685293,0
168,40348,1.0,0.41634974,0
169,36547,1.0,0.63000053,1
170,33718,1.0,0.506722,1
171,39440,1.0,0.3924201,0
172,27129,0.0,0.003907954,0
173,6112,0.0,0.000644683,0
174,10329,0.0,0.46626335,0
